{'Low': 0.9984443783760071, 'Medium': 0.0008796372567303479, 'High': 0.002790383994579315}
{'Low': 0.9964526891708374, 'Medium': 0.000983843463473022, 'High': 0.006482045166194439}
{'Low': 0.9356752038002014, 'Medium': 0.005267034750431776, 'High': 0.041526515036821365}
{'Low': 0.9841230511665344, 'Medium': 0.013832716271281242, 'High': 0.0009621227509342134}
{'Low': 0.864065945148468, 'Medium': 0.11065201461315155, 'High': 0.00292351096868515}
{'Low': 0.788795530796051, 'Medium': 0.003114429535344243, 'High': 0.015095624141395092}
{'Low': 0.767903745174408, 'Medium': 0.1670694649219513, 'High': 0.009557760320603848}
{'Low': 0.9661189317703247, 'Medium': 0.00018573614943306893, 'High': 0.02016194351017475}
{'Low': 0.06101777032017708, 'Medium': 0.9704331755638123, 'High': 0.0002341117215109989}
{'Low': 0.9896065592765808, 'Medium': 0.00010442700295243412, 'High': 0.006034975405782461}
{'Low': 0.38582658767700195, 'Medium': 0.005730439443141222, 'High': 0.7602254152297974}
{'Low': 0.8426547646522522, 'Medium': 0.0071359481662511826, 'High': 0.07231280207633972}
{'Low': 0.9914484024047852, 'Medium': 0.001202734187245369, 'High': 0.00115617283154279}
{'Low': 0.22430527210235596, 'Medium': 0.648156464099884, 'High': 0.00019009587413165718}
{'Low': 0.6755732297897339, 'Medium': 0.002098813885822892, 'High': 0.13098961114883423}
{'Low': 0.9878711700439453, 'Medium': 0.0002845263516064733, 'High': 0.001880036317743361}
{'Low': 0.039612218737602234, 'Medium': 0.3441770374774933, 'High': 0.24731282889842987}
{'Low': 0.9988137483596802, 'Medium': 4.539787187241018e-05, 'High': 0.010076012462377548}
{'Low': 0.7841448783874512, 'Medium': 0.002521089743822813, 'High': 0.3250803053379059}
{'Low': 0.9933558702468872, 'Medium': 4.539787187241018e-05, 'High': 0.006042041350156069}
{'Low': 0.8970063924789429, 'Medium': 0.6263704299926758, 'High': 4.539787187241018e-05}
{'Low': 0.8149945139884949, 'Medium': 0.14467434585094452, 'High': 0.007929193787276745}
{'Low': 0.079844631254673, 'Medium': 0.6849328279495239, 'High': 0.003973047249019146}
{'Low': 0.0013279843842610717, 'Medium': 0.01063357200473547, 'High': 0.9678443670272827}
{'Low': 0.0044247847981750965, 'Medium': 0.009896942414343357, 'High': 0.9874951243400574}
{'Low': 0.99943608045578, 'Medium': 0.007418689783662558, 'High': 0.00025785493198782206}
{'Low': 0.3253304660320282, 'Medium': 0.2944961190223694, 'High': 0.0321541391313076}
{'Low': 0.012632006779313087, 'Medium': 0.8698329329490662, 'High': 0.005276429001241922}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.4281616508960724, 'Medium': 0.000411176064517349, 'High': 0.42260831594467163}
{'Low': 0.8846873641014099, 'Medium': 0.0058019268326461315, 'High': 0.0454850047826767}
{'Low': 0.9991452693939209, 'Medium': 0.06448789685964584, 'High': 4.539787187241018e-05}
{'Low': 0.01946410909295082, 'Medium': 0.95013427734375, 'High': 0.0009644915699027479}
{'Low': 0.003017767332494259, 'Medium': 0.9307337999343872, 'High': 0.03921851888298988}
{'Low': 0.9988585710525513, 'Medium': 0.005615587811917067, 'High': 0.0005330700660124421}
{'Low': 0.9367343783378601, 'Medium': 0.0004696949908975512, 'High': 0.10076050460338593}
{'Low': 0.05956781283020973, 'Medium': 0.05414346233010292, 'High': 0.6093257069587708}
{'Low': 0.9885518550872803, 'Medium': 0.002195935230702162, 'High': 0.007310172077268362}
{'Low': 0.9934397339820862, 'Medium': 0.006735336035490036, 'High': 0.002807480515912175}
{'Low': 0.06313996016979218, 'Medium': 0.5050776600837708, 'High': 0.05610959976911545}
{'Low': 0.6926196813583374, 'Medium': 0.30365321040153503, 'High': 0.008900949731469154}
{'Low': 0.21842233836650848, 'Medium': 0.0017224728362634778, 'High': 0.196695014834404}
{'Low': 0.023134512826800346, 'Medium': 0.8263666033744812, 'High': 0.03243951126933098}
{'Low': 0.3652344048023224, 'Medium': 0.019521405920386314, 'High': 0.30279165506362915}
{'Low': 0.49580565094947815, 'Medium': 0.11509519070386887, 'High': 0.1494968682527542}
{'Low': 0.11943624913692474, 'Medium': 0.6851649880409241, 'High': 0.0011587963672354817}
{'Low': 0.133567214012146, 'Medium': 0.9774098992347717, 'High': 8.989287016447634e-05}
{'Low': 0.15355947613716125, 'Medium': 0.9318934082984924, 'High': 4.539787187241018e-05}
{'Low': 0.3885020315647125, 'Medium': 0.4844174087047577, 'High': 0.0020284797064960003}
{'Low': 0.7017256617546082, 'Medium': 0.0020613207016140223, 'High': 0.34691667556762695}
{'Low': 0.6093938946723938, 'Medium': 0.8424665331840515, 'High': 0.0005395110347308218}
{'Low': 0.1372184008359909, 'Medium': 0.7278738617897034, 'High': 0.0031084732618182898}
{'Low': 0.2237340807914734, 'Medium': 0.1157715693116188, 'High': 0.08369305729866028}
{'Low': 0.08379293978214264, 'Medium': 0.0003220914804842323, 'High': 0.7348136901855469}
{'Low': 0.00034150740248151124, 'Medium': 0.27324286103248596, 'High': 0.9888918995857239}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.042439159005880356, 'Medium': 0.830258309841156, 'High': 0.023456672206521034}
{'Low': 0.029017148539423943, 'Medium': 0.09098535776138306, 'High': 0.8274439573287964}
{'Low': 0.5587626695632935, 'Medium': 0.06121811643242836, 'High': 0.07308229804039001}
{'Low': 0.26960107684135437, 'Medium': 0.1230636015534401, 'High': 0.15904343128204346}
{'Low': 0.9989657402038574, 'Medium': 0.0003945851931348443, 'High': 0.0003387820615898818}
{'Low': 0.14599435031414032, 'Medium': 0.12152878195047379, 'High': 0.34938207268714905}
{'Low': 0.0008367960690520704, 'Medium': 0.9275234341621399, 'High': 0.4080560803413391}
{'Low': 0.829951286315918, 'Medium': 0.05482036992907524, 'High': 0.03332189843058586}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.5156755447387695, 'Medium': 0.1811116635799408, 'High': 0.055646106600761414}
{'Low': 0.999482274055481, 'Medium': 0.00015999047900550067, 'High': 0.000293522811261937}
{'Low': 0.8518978953361511, 'Medium': 0.06703323125839233, 'High': 0.011196477338671684}
{'Low': 0.551328182220459, 'Medium': 0.38896825909614563, 'High': 0.024372225627303123}
{'Low': 0.26001033186912537, 'Medium': 0.22899886965751648, 'High': 0.014959313906729221}
{'Low': 0.16939677298069, 'Medium': 0.06385581940412521, 'High': 0.0703141838312149}
{'Low': 0.024319004267454147, 'Medium': 0.8804854154586792, 'High': 0.004793383181095123}
{'Low': 0.9477072358131409, 'Medium': 0.0007061622454784811, 'High': 0.0703379437327385}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.9635376334190369, 'Medium': 9.091520041693002e-05, 'High': 0.03787124902009964}
{'Low': 0.999930739402771, 'Medium': 4.539787187241018e-05, 'High': 4.539787187241018e-05}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.9062700867652893, 'Medium': 0.020574267953634262, 'High': 0.01062303688377142}
{'Low': 0.9962455630302429, 'Medium': 0.002397451549768448, 'High': 0.005096403416246176}
{'Low': 0.9800874590873718, 'Medium': 0.011437230743467808, 'High': 0.0033852597698569298}
{'Low': 0.18206168711185455, 'Medium': 0.5319970846176147, 'High': 0.03309257701039314}
{'Low': 0.9880205988883972, 'Medium': 0.028159204870462418, 'High': 0.004371189046651125}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.9383659958839417, 'Medium': 0.05144662782549858, 'High': 0.011666868813335896}
{'Low': 0.034421712160110474, 'Medium': 0.0005719176842831075, 'High': 0.8604484796524048}
{'Low': 0.02091313526034355, 'Medium': 0.0011341971112415195, 'High': 0.9455256462097168}
{'Low': 0.9995458722114563, 'Medium': 6.708981527481228e-05, 'High': 0.0028469909448176622}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.9984914064407349, 'Medium': 0.00018753259791992605, 'High': 0.008645260706543922}
{'Low': 0.06436653435230255, 'Medium': 0.3496512770652771, 'High': 0.19670677185058594}
{'Low': 0.8669793009757996, 'Medium': 0.007384221535176039, 'High': 0.07468281686306}
{'Low': 0.9635193943977356, 'Medium': 0.0065367999486625195, 'High': 0.010260947979986668}
{'Low': 0.8148592710494995, 'Medium': 0.13333310186862946, 'High': 0.01949082314968109}
{'Low': 0.5431275367736816, 'Medium': 0.00026176570099778473, 'High': 0.3388160765171051}
{'Low': 0.9056301712989807, 'Medium': 0.005445562303066254, 'High': 0.0600225105881691}
{'Low': 0.266609787940979, 'Medium': 0.015758825466036797, 'High': 0.14734898507595062}
{'Low': 0.08800666779279709, 'Medium': 0.7510010600090027, 'High': 0.0006000955472700298}
